,datetime,close,RSI,RSI_SMA,Signal,ltp
33,2019-12-24 14:15:00,12211.25,26.08,45.61571428571428,Buy,129.8
54,2020-01-02 11:15:00,12256.05,70.09,34.815714285714286,Sell,129.75
70,2020-01-06 09:15:00,12086.8,18.92,62.16357142857142,Buy,129.25
101,2020-01-09 13:15:00,12195.05,84.97,54.68785714285715,Sell,129.4
167,2020-01-21 15:15:00,12164.6,28.24,44.39142857142857,Buy,129.23
188,2020-01-24 09:15:00,12229.6,73.16,44.53499999999999,Sell,129.2
203,2020-01-27 15:15:00,12112.8,24.39,58.34,Buy,128.8
255,2020-02-04 13:15:00,11954.85,85.31,39.12428571428571,Sell,126.55
287,2020-02-10 15:15:00,12040.5,28.56,53.02785714285714,Buy,127.73
300,2020-02-12 10:15:00,12209.1,75.16,51.85071428571428,Sell,129.27
331,2020-02-17 14:15:00,12042.7,21.13,36.85214285714286,Buy,127.95
349,2020-02-19 14:15:00,12123.5,73.12,39.40642857142858,Sell,128.47
362,2020-02-24 09:15:00,11956.1,22.87,63.79571428571428,Buy,126.9
544,2020-03-25 14:15:00,8300.85,81.41,44.91785714285714,Sell,88.87
593,2020-04-03 09:15:00,8176.6,23.42,44.17285714285715,Buy,89.4
607,2020-04-07 14:15:00,8810.5,83.49,46.60142857142857,Sell,92.25
668,2020-04-21 11:15:00,9001.55,25.54,56.645,Buy,95.75
682,2020-04-22 16:15:00,9195.5,72.46,37.07285714285714,Sell,97.47
743,2020-05-04 14:15:00,9278.35,12.68,62.06857142857143,Buy,98.91
847,2020-05-21 09:15:00,9109.75,86.74,60.72857142857144,Sell,96.13
952,2020-06-09 14:15:00,10051.75,24.99,57.07428571428572,Buy,107.21
1009,2020-06-18 16:15:00,10090.5,78.63,58.83857142857143,Sell,107.49
1160,2020-07-14 13:15:00,10631.7,25.22,46.29285714285714,Buy,112.48
1184,2020-07-17 10:15:00,10811.85,78.41,52.29928571428571,Sell,114.79
1262,2020-07-30 15:15:00,11093.6,29.22,49.77571428571429,Buy,118.1
1288,2020-08-04 14:15:00,11096.4,72.67,34.269285714285715,Sell,117.54
1360,2020-08-14 14:15:00,11178.0,28.17,51.46571428571429,Buy,118.9
1373,2020-08-18 12:15:00,11320.05,80.23,41.27571428571429,Sell,120.22
1393,2020-08-20 14:15:00,11310.4,25.07,57.52071428571429,Buy,120.31
1401,2020-08-21 13:15:00,11400.4,72.08,40.4,Sell,121.24
1458,2020-08-31 16:15:00,11342.45,24.99,52.98571428571428,Buy,121.05
1475,2020-09-02 15:15:00,11545.0,71.26,50.31785714285714,Sell,122.7
1488,2020-09-07 09:15:00,11314.65,19.25,48.81142857142856,Buy,120.7
1498,2020-09-08 10:15:00,11406.4,70.54,29.195714285714285,Sell,121.48
1507,2020-09-09 10:15:00,11238.6,28.39,46.06642857142857,Buy,119.95
1519,2020-09-10 13:15:00,11385.35,75.44,42.24928571428571,Sell,121.2
1583,2020-09-21 14:15:00,11261.85,11.95,39.02928571428572,Buy,120.36
1615,2020-09-28 09:15:00,11163.0,73.43,37.934285714285714,Sell,118.3
1717,2020-10-14 12:15:00,11843.65,28.07,46.487857142857145,Buy,126.09
1734,2020-10-19 10:15:00,11852.8,79.91,39.03714285714285,Sell,126.62
1782,2020-10-26 13:15:00,11723.45,12.8,49.57357142857144,Buy,125.73
1795,2020-10-28 08:15:00,11922.6,73.98,37.885,Sell,126.64
1806,2020-10-29 10:15:00,11690.7,29.18,48.00857142857143,Buy,125.09
1837,2020-11-03 14:15:00,11815.4,86.56,58.44642857142858,Sell,125.88
2104,2020-12-21 14:15:00,13338.9,16.08,50.307142857142864,Buy,
2119,2020-12-23 11:15:00,13538.3,71.27,32.93,Sell,144.16
2231,2021-01-18 10:15:00,14328.75,22.41,39.32,Buy,153.02
2249,2021-01-20 10:15:00,14611.7,84.4,55.417142857142856,Sell,155.75
2271,2021-01-22 14:15:00,14362.95,16.15,51.47928571428571,Buy,154.31
2316,2021-02-01 14:15:00,14253.7,70.02,47.00142857142857,Sell,151.0
2417,2021-02-17 15:15:00,15206.75,26.31,46.21,Buy,162.61
2457,2021-02-24 16:15:00,14982.0,70.16,41.01428571428571,Sell,160.15
2472,2021-02-26 13:15:00,14688.1,26.32,61.24071428571428,Buy,156.64
2488,2021-03-02 11:15:00,14835.2,74.32,47.22642857142857,Sell,158.39
2562,2021-03-16 12:15:00,14939.25,25.57,45.381428571428565,Buy,160.55
2602,2021-03-22 16:15:00,14743.85,71.83,55.57714285714286,Sell,157.88
2619,2021-03-24 15:15:00,14551.1,22.45,46.825,Buy,156.14
2639,2021-03-30 08:15:00,14628.5,73.98,45.17857142857143,Sell,156.51
2704,2021-04-12 09:15:00,14454.75,11.49,44.95857142857143,Buy,
2720,2021-04-13 16:15:00,14525.7,71.12,25.40571428571429,Sell,
2742,2021-04-19 11:15:00,14269.95,21.04,57.02571428571429,Buy,
2785,2021-04-27 09:15:00,14566.55,77.99,61.055,Sell,
2812,2021-05-03 08:15:00,14481.05,13.36,57.885,Buy,
2843,2021-05-06 12:15:00,14712.75,70.67,52.35285714285715,Sell,
2877,2021-05-12 10:15:00,14712.5,27.5,47.62571428571429,Buy,
2899,2021-05-17 14:15:00,14921.15,79.63,48.96714285714285,Sell,
2919,2021-05-20 15:15:00,14919.9,25.34,67.56214285714286,Buy,
2930,2021-05-24 08:15:00,15211.35,76.73,46.137142857142855,Sell,
3081,2021-06-16 14:15:00,15768.25,20.93,58.39857142857143,Buy,
3116,2021-06-22 13:15:00,15819.0,83.03,59.701428571428565,Sell,
3172,2021-07-01 14:15:00,15677.35,28.33,38.24714285714286,Buy,
3186,2021-07-05 10:15:00,15824.0,77.59,46.10928571428571,Sell,
3219,2021-07-08 16:15:00,15727.75,28.64,43.07857142857143,Buy,
3247,2021-07-14 08:15:00,15808.7,71.8,58.90928571428572,Sell,
3275,2021-07-19 15:15:00,15760.15,24.66,56.800714285714285,Buy,
3293,2021-07-22 15:15:00,15831.55,79.61,40.93571428571429,Sell,
3318,2021-07-27 13:15:00,15724.85,29.88,47.485,Buy,
3337,2021-07-29 14:15:00,15777.15,70.51,45.02785714285714,Sell,
3628,2021-09-20 15:15:00,17388.4,28.95,47.32214285714286,Buy,
3641,2021-09-23 09:15:00,17725.9,71.07,47.45857142857143,Sell,
3694,2021-10-01 08:15:00,17531.9,29.49,43.91357142857142,Buy,
3709,2021-10-04 14:15:00,17697.85,74.21,44.67928571428571,Sell,
3801,2021-10-20 15:15:00,18280.8,27.47,44.37214285714286,Buy,
3836,2021-10-26 14:15:00,18263.25,74.49,50.815000000000005,Sell,
3850,2021-10-28 10:15:00,18038.15,21.02,59.37642857142857,Buy,
3876,2021-11-03 08:15:00,17947.95,85.39,44.79857142857144,Sell,
