,Unnamed: 0,datetime,close,RSI,RSI_SMA,Signal,ltp
45,45,2019-12-27 08:15:00,12172.9,28.9,19.535,Buy,128.94
78,78,2020-01-07 08:15:00,12079.1,29.31,24.737142857142857,Buy,128.4
110,110,2020-01-10 13:15:00,12237.65,66.98,80.9557142857143,Sell,130.07
178,178,2020-01-23 08:15:00,12123.75,28.58,27.14642857142857,Buy,128.48
249,249,2020-02-03 16:15:00,11724.05,33.27,32.62785714285714,Buy,125.05
266,266,2020-02-05 15:15:00,12092.3,83.08,83.25714285714285,Sell,127.89
340,340,2020-02-18 14:15:00,12000.75,30.8,20.845,Buy,126.83
373,373,2020-02-25 11:15:00,11856.4,21.49,18.60428571428572,Buy,125.9
393,393,2020-02-27 13:15:00,11586.45,26.08,23.169285714285717,Buy,123.33
452,452,2020-03-09 14:15:00,10466.6,24.8,19.839285714285715,Buy,110.95
456,456,2020-03-11 09:15:00,10421.15,24.17,18.78857142857143,Buy,111.8
500,500,2020-03-18 08:15:00,9088.45,33.93,29.54714285714286,Buy,99.94
511,511,2020-03-19 10:15:00,8363.65,33.92,24.33642857142857,Buy,88.5
555,555,2020-03-26 16:15:00,8653.55,78.45,78.82285714285716,Sell,94.87
599,599,2020-04-03 15:15:00,8092.45,34.33,31.648571428571437,Buy,86.55
735,735,2020-04-30 15:15:00,9866.0,84.63,86.79499999999999,Sell,104.0
751,751,2020-05-05 13:15:00,9333.85,33.33,27.073571428571427,Buy,99.26
852,852,2020-05-21 14:15:00,9111.9,71.6,72.16714285714286,Sell,96.9
855,855,2020-05-22 08:15:00,9067.9,66.87,74.01928571428572,Sell,96.0
897,897,2020-06-01 13:15:00,9834.6,83.11,93.2414285714286,Sell,105.08
916,916,2020-06-03 14:15:00,10050.6,69.88,78.23071428571427,Sell,107.48
1021,1021,2020-06-22 10:15:00,10301.55,82.94,83.68714285714285,Sell,109.5
1040,1040,2020-06-24 11:15:00,10478.95,72.64,72.76142857142857,Sell,111.01
1101,1101,2020-07-03 09:15:00,10597.15,71.11,73.26428571428572,Sell,112.63
1120,1120,2020-07-07 10:15:00,10733.45,68.62,75.60785714285714,Sell,114.33
1205,1205,2020-07-21 13:15:00,11143.5,80.02,88.72928571428572,Sell,118.52
1210,1210,2020-07-22 09:15:00,11141.35,66.27,86.23571428571428,Sell,118.45
1276,1276,2020-08-03 11:15:00,10966.9,31.11,29.839285714285715,Buy,116.95
1282,1282,2020-08-04 08:15:00,10946.65,29.92,24.31714285714286,Buy,116.58
1297,1297,2020-08-05 14:15:00,11103.9,66.0,68.19928571428571,Sell,118.31
1330,1330,2020-08-11 11:15:00,11320.05,68.21,69.41214285714287,Sell,120.22
1332,1332,2020-08-11 13:15:00,11353.25,65.39,70.89142857142858,Sell,120.58
1384,1384,2020-08-19 14:15:00,11403.9,66.72,78.82214285714285,Sell,121.56
1416,1416,2020-08-25 10:15:00,11465.3,69.5,69.90642857142858,Sell,122.16
1418,1418,2020-08-25 12:15:00,11475.7,68.4,71.27285714285715,Sell,122.01
1445,1445,2020-08-28 12:15:00,11632.6,65.69,70.62571428571428,Sell,123.94
1528,1528,2020-09-11 13:15:00,11459.75,70.75,73.99285714285715,Sell,121.61
1559,1559,2020-09-17 08:15:00,11539.4,65.19,68.28214285714286,Sell,122.9
1592,1592,2020-09-22 14:15:00,11161.5,24.81,23.129285714285714,Buy,118.82
1605,1605,2020-09-25 08:15:00,10910.4,34.05,32.325714285714284,Buy,116.35
1607,1607,2020-09-25 10:15:00,10918.45,33.84,33.37571428571429,Buy,116.3
1625,1625,2020-09-29 10:15:00,11207.85,71.41,78.8292857142857,Sell,120.11
1655,1655,2020-10-05 13:15:00,11527.3,73.57,76.52857142857142,Sell,122.15
1682,1682,2020-10-08 13:15:00,11867.25,82.13,84.89428571428572,Sell,126.41
1725,1725,2020-10-16 10:15:00,11764.9,33.99,32.495714285714286,Buy,125.32
1754,1754,2020-10-21 12:15:00,11991.5,69.12,70.57785714285714,Sell,127.74
1852,1852,2020-11-06 10:15:00,12179.75,90.91,93.05285714285716,Sell,129.87
1861,1861,2020-11-09 10:15:00,12406.2,86.98,89.35428571428572,Sell,132.35
1871,1871,2020-11-10 11:15:00,12571.6,84.29,84.73214285714286,Sell,134.04
1873,1873,2020-11-10 13:15:00,12532.85,65.64,83.33285714285714,Sell,134.28
1915,1915,2020-11-17 16:15:00,12879.8,65.23,66.42999999999999,Sell,137.26
2027,2027,2020-12-08 10:15:00,13380.2,71.75,78.22428571428573,Sell,143.0
2036,2036,2020-12-09 10:15:00,13488.45,70.27,71.06428571428572,Sell,143.59
2040,2040,2020-12-09 14:15:00,13532.7,67.11,67.83142857142857,Sell,144.3
2090,2090,2020-12-18 09:15:00,13695.05,67.65,75.24571428571429,Sell,146.59
2112,2112,2020-12-22 13:15:00,13427.8,32.5,26.47,Buy,142.12
2131,2131,2020-12-24 14:15:00,13749.75,80.44,81.57857142857144,Sell,146.26
2148,2148,2021-01-01 16:15:00,14014.8,80.86,83.68714285714286,Sell,
2205,2205,2021-01-13 11:15:00,14560.0,74.36,85.27142857142857,Sell,155.65
2234,2234,2021-01-18 13:15:00,14400.9,33.47,32.949285714285715,Buy,152.93
