,datetime,open,high,low,close,volume
0,2019-12-18 09:15:00,128.5,128.5,124.94,125.4,3559
1,2019-12-18 09:45:00,125.39,125.4,125.15,125.28,2009
2,2019-12-18 10:15:00,125.3,125.34,125.08,125.34,1746
3,2019-12-18 10:45:00,125.34,125.5,125.12,125.13,579
4,2019-12-18 11:15:00,125.23,125.27,125.13,125.26,251
5,2019-12-18 11:45:00,125.27,125.45,125.14,125.31,1064
6,2019-12-18 12:15:00,125.3,125.81,125.3,125.75,16278
7,2019-12-18 12:45:00,125.75,125.85,125.43,125.82,406
8,2019-12-18 13:15:00,125.6,125.76,125.51,125.73,6698
9,2019-12-18 13:45:00,125.56,125.8,125.5,125.5,1001
10,2019-12-18 14:15:00,125.45,125.79,125.4,125.73,2196
11,2019-12-18 14:45:00,125.67,125.8,125.41,125.78,6690
12,2019-12-18 15:15:00,125.78,126.05,125.63,125.63,8915
13,2019-12-19 09:15:00,125.9,125.9,125.5,125.82,667
14,2019-12-19 09:45:00,125.6,125.85,125.35,125.85,392
15,2019-12-19 10:15:00,125.84,125.84,125.32,125.84,286
16,2019-12-19 10:45:00,125.87,126.0,125.85,126.0,811
17,2019-12-19 11:15:00,126.0,126.0,125.62,126.0,2336
18,2019-12-19 11:45:00,126.0,126.0,125.81,125.99,282
19,2019-12-19 12:15:00,126.0,126.0,125.95,125.99,415
20,2019-12-19 12:45:00,125.99,126.16,125.81,125.85,2877
21,2019-12-19 13:15:00,125.85,126.25,125.85,126.25,117
22,2019-12-19 13:45:00,126.25,126.36,125.85,125.95,964
23,2019-12-19 14:15:00,126.0,126.0,125.95,126.0,388
24,2019-12-19 14:45:00,126.0,126.38,126.0,126.38,1711
25,2019-12-19 15:15:00,126.38,126.38,126.0,126.3,821
26,2019-12-20 09:15:00,126.01,126.52,125.95,126.35,17550
27,2019-12-20 09:45:00,126.35,126.43,125.97,126.4,14235
28,2019-12-20 10:15:00,126.39,126.39,126.1,126.1,1526
29,2019-12-20 10:45:00,126.2,126.4,126.11,126.4,15097
30,2019-12-20 11:15:00,126.4,126.5,126.06,126.24,433954
31,2019-12-20 11:45:00,126.24,126.34,126.21,126.33,20488
32,2019-12-20 12:15:00,126.34,126.5,126.2,126.49,21771
33,2019-12-20 12:45:00,126.45,126.7,126.45,126.62,14533
34,2019-12-20 13:15:00,126.62,126.66,126.38,126.65,36444
35,2019-12-20 13:45:00,126.5,126.66,126.5,126.65,1868
36,2019-12-20 14:15:00,126.7,126.7,126.0,126.28,429248
37,2019-12-20 14:45:00,126.23,126.34,126.02,126.23,11891
38,2019-12-20 15:15:00,126.23,126.23,125.9,125.9,861
39,2019-12-23 09:15:00,126.25,126.39,126.0,126.0,2024
40,2019-12-23 09:45:00,126.2,126.33,126.02,126.11,1549
41,2019-12-23 10:15:00,126.25,126.34,126.1,126.32,1694
42,2019-12-23 10:45:00,126.32,126.34,126.07,126.34,1878
43,2019-12-23 11:15:00,126.35,126.35,126.09,126.34,578
44,2019-12-23 11:45:00,126.34,126.34,126.3,126.3,1463
45,2019-12-23 12:15:00,126.3,126.47,126.3,126.45,3923
46,2019-12-23 12:45:00,126.45,126.45,126.0,126.0,2540
47,2019-12-23 13:15:00,126.19,126.2,125.8,125.94,3001
48,2019-12-23 13:45:00,125.94,125.94,125.76,125.76,10057
49,2019-12-23 14:15:00,125.76,125.93,125.76,125.93,196
50,2019-12-23 14:45:00,125.93,126.24,125.87,126.04,14114
51,2019-12-23 15:15:00,126.24,126.25,125.99,126.25,1593
52,2019-12-24 09:15:00,126.24,126.39,126.02,126.39,1427
53,2019-12-24 09:45:00,126.39,126.39,126.15,126.18,5611
54,2019-12-24 10:15:00,126.15,126.24,126.15,126.2,860
55,2019-12-24 10:45:00,126.2,126.23,126.0,126.0,4268
56,2019-12-24 11:15:00,126.0,126.27,126.0,126.2,18913
57,2019-12-24 11:45:00,126.18,126.27,126.12,126.18,24519
58,2019-12-24 12:15:00,126.18,126.25,126.0,126.25,24261
59,2019-12-24 12:45:00,126.28,126.36,126.25,126.25,6621
60,2019-12-24 13:15:00,126.35,126.35,126.25,126.25,132
61,2019-12-24 13:45:00,126.26,126.5,126.26,126.5,19443
62,2019-12-24 14:15:00,126.5,126.5,126.25,126.3,50693
63,2019-12-24 14:45:00,126.25,126.25,126.1,126.11,5184
64,2019-12-24 15:15:00,126.16,126.16,125.86,126.14,5975
65,2019-12-26 09:15:00,125.99,126.0,125.56,125.88,2723
66,2019-12-26 09:45:00,125.87,126.0,125.55,125.9,1147
