,datetime,close,RSI,RSI_SMA,Signal,stock_ltp
0,2019-12-18 09:15:00,12182.55,,,,128.9
1,2019-12-18 10:15:00,12181.2,,,,128.8
2,2019-12-18 11:15:00,12196.6,,,,128.8
3,2019-12-18 12:15:00,12213.45,,,,129.02
4,2019-12-18 13:15:00,12197.7,,,,129.07
5,2019-12-18 14:15:00,12216.1,,,,129.0
6,2019-12-18 15:15:00,12221.65,,,,129.27
7,2019-12-19 09:15:00,12211.0,,,,129.49
8,2019-12-19 10:15:00,12226.2,,,,129.62
9,2019-12-19 11:15:00,12246.6,,,,130.03
10,2019-12-19 12:15:00,12233.45,,,,130.17
11,2019-12-19 13:15:00,12250.4,,,,129.98
12,2019-12-19 14:15:00,12258.45,,,,130.14
13,2019-12-19 15:15:00,12259.7,74.27,,,130.26
14,2019-12-20 09:15:00,12280.5,77.25,,,130.38
15,2019-12-20 10:15:00,12281.1,77.91,,,130.05
16,2019-12-20 11:15:00,12284.75,76.35,,,130.51
17,2019-12-20 12:15:00,12269.9,67.08,,,130.49
18,2019-12-20 13:15:00,12277.0,75.32,,,130.36
19,2019-12-20 14:15:00,12267.15,67.24,,,130.36
20,2019-12-20 15:15:00,12271.8,67.04,,,130.2
21,2019-12-23 09:15:00,12270.95,71.82,,,130.11
22,2019-12-23 10:15:00,12265.5,65.4,,,130.2
23,2019-12-23 11:15:00,12269.15,60.17,,,130.01
24,2019-12-23 12:15:00,12256.65,60.53,,,130.29
25,2019-12-23 13:15:00,12246.6,48.16,,,129.7
26,2019-12-23 14:15:00,12264.15,52.53,67.2192857142857,,129.28
27,2019-12-23 15:15:00,12262.75,51.35,65.58214285714286,,129.93
28,2019-12-24 09:15:00,12260.25,39.3,62.871428571428574,,129.9
29,2019-12-24 10:15:00,12247.3,34.21,59.75,,129.8
30,2019-12-24 11:15:00,12249.5,33.3,56.675,,129.85
31,2019-12-24 12:15:00,12246.65,37.57,54.567142857142855,,129.72
32,2019-12-24 13:15:00,12245.35,31.97,51.47071428571429,,129.74
33,2019-12-24 14:15:00,12211.25,25.04,48.45642857142857,Buy,129.45
34,2019-12-24 15:15:00,12214.55,24.13,45.39142857142856,Hold,129.37
35,2019-12-26 09:15:00,12208.55,23.06,41.90857142857143,Hold,129.27
36,2019-12-26 10:15:00,12194.3,21.43,38.767857142857146,Hold,129.26
37,2019-12-26 11:15:00,12189.15,18.28,35.77571428571429,Hold,129.01
38,2019-12-26 12:15:00,12175.6,18.13,32.747142857142855,Hold,129.05
39,2019-12-26 13:15:00,12161.4,17.56,30.56142857142857,Hold,128.94
40,2019-12-26 14:15:00,12130.9,3.81,27.08142857142857,Hold,128.99
41,2019-12-26 15:15:00,12126.55,3.74,23.680714285714288,Hold,128.7
42,2019-12-27 09:15:00,12192.05,33.78,23.28642857142857,Hold,129.25
43,2020-01-01 09:15:00,12190.85,35.78,23.398571428571422,Hold,129.49
44,2020-01-01 10:15:00,12183.4,33.78,23.43285714285714,Hold,129.42
45,2020-01-01 11:15:00,12187.35,35.52,23.28642857142857,Hold,129.3
46,2020-01-01 12:15:00,12175.35,33.76,23.414285714285715,Hold,129.3
47,2020-01-01 13:15:00,12182.05,42.24,24.642857142857142,Hold,129.32
48,2020-01-01 14:15:00,12182.3,41.29,25.868571428571425,Hold,129.38
49,2020-01-01 15:15:00,12182.5,42.73,27.273571428571437,Hold,129.42
50,2020-01-02 09:15:00,12219.6,56.26,29.76142857142857,Hold,129.62
51,2020-01-02 10:15:00,12228.45,59.55,32.70928571428571,Hold,129.83
52,2020-01-02 11:15:00,12256.05,68.3,36.29285714285714,Hold,129.88
53,2020-01-02 12:15:00,12258.45,73.32,40.27571428571429,Sell,129.97
54,2020-01-02 13:15:00,12262.7,86.25,46.16428571428572,Waiting,129.89
55,2020-01-02 14:15:00,12283.55,89.59,52.29642857142858,Waiting,130.02
56,2020-01-02 15:15:00,12282.2,83.6,55.855,Waiting,130.13
57,2020-01-03 09:15:00,12254.55,69.83,58.28714285714285,Waiting,129.69
58,2020-01-03 10:15:00,12243.45,68.28,60.75142857142857,Waiting,129.94
59,2020-01-03 11:15:00,12222.9,59.83,62.487857142857145,Waiting,129.87
60,2020-01-03 12:15:00,12236.6,66.78,64.84642857142858,Waiting,129.84
61,2020-01-03 13:15:00,12214.55,58.21,65.98714285714286,Waiting,129.75
