datetime,close,RSI,RSI_SMA
2025-05-07 09:15:00,24304.1,,
2025-05-07 10:15:00,24372.6,,
2025-05-07 11:15:00,24374.85,,
2025-05-07 12:15:00,24362.05,,
2025-05-07 13:15:00,24406.9,,
2025-05-07 14:15:00,24407.05,,
2025-05-07 15:15:00,24409.3,,
2025-05-07 16:15:00,24411.6,,
2025-05-08 09:15:00,24382.5,,
2025-05-09 09:15:00,24060.65,,
2025-05-09 10:15:00,24012.85,,
2025-05-09 11:15:00,24049.7,,
2025-05-09 12:15:00,24009.25,,
2025-05-09 13:15:00,24005.05,25.62,
2025-05-09 14:15:00,24000.55,25.43,
2025-05-09 15:15:00,24038.65,21.58,
2025-05-09 16:15:00,24027.65,20.88,
2025-05-12 09:15:00,24682.65,62.94,
2025-05-12 10:15:00,24702.85,62.19,
2025-05-12 11:15:00,24721.3,62.75,
2025-05-12 12:15:00,24789.15,64.64,
2025-05-12 13:15:00,24866.2,66.56,
2025-05-12 14:15:00,24907.45,68.96,
2025-05-12 15:15:00,24920.25,89.96,
2025-05-12 16:15:00,24926.3,94.18,
2025-05-13 09:15:00,24771.95,81.37,
2025-05-13 10:15:00,24724.55,80.88,59.139
2025-05-13 11:15:00,24757.6,81.7,63.144
2025-05-13 12:15:00,24633.15,74.2,66.628
2025-05-13 13:15:00,24600.2,71.57,70.199
2025-05-14 13:15:00,24615.0,72.49,73.885
2025-05-14 14:15:00,24669.55,49.07,72.894
2025-05-14 15:15:00,24685.75,48.78,71.936
2025-05-14 16:15:00,24684.95,47.34,70.836
2025-05-15 09:15:00,24561.7,34.61,68.691
2025-05-15 10:15:00,24617.25,32.65,66.269
2025-05-15 11:15:00,24661.05,32.89,63.692
2025-05-15 12:15:00,24886.3,48.18,60.708
2025-05-15 13:15:00,25091.0,57.28,58.072
2025-05-15 14:15:00,25056.4,64.06,56.836
2025-05-15 15:15:00,25035.3,65.77,55.756
2025-05-15 16:15:00,25061.35,65.53,54.601
2025-05-16 09:15:00,25005.15,70.44,54.333
2025-05-16 10:15:00,24975.45,70.7,54.271
2025-05-16 11:15:00,24976.05,70.23,54.109
2025-05-16 12:15:00,25006.8,69.41,55.562
2025-05-16 13:15:00,25019.95,69.31,57.029
2025-05-16 14:15:00,25024.2,69.52,58.613
2025-05-16 15:15:00,25013.1,79.82,61.842
2025-05-16 16:15:00,25016.35,78.33,65.105
2025-05-19 09:15:00,25040.85,77.71,68.306
2025-05-19 10:15:00,25041.05,66.82,69.638
2025-05-20 10:15:00,24920.75,27.35,67.5
2025-05-20 11:15:00,24859.2,25.52,64.747
2025-05-20 12:15:00,24790.7,22.83,61.68
2025-05-20 13:15:00,24738.35,16.1,58.149
2025-05-20 14:15:00,24693.1,16.48,54.295
2025-05-20 15:15:00,24713.85,21.35,50.77
2025-05-20 16:15:00,24698.75,20.56,47.222
2025-05-21 09:15:00,24869.2,38.73,45.031
2025-05-21 10:15:00,24896.7,40.14,42.947
2025-05-21 11:15:00,24733.45,31.46,40.229
2025-05-21 12:15:00,24799.7,37.29,37.191
2025-05-21 13:15:00,24799.2,37.02,34.24
2025-05-21 14:15:00,24809.4,35.92,31.255
2025-05-21 15:15:00,24800.4,35.52,29.019
2025-05-21 16:15:00,24801.2,41.6,30.037
2025-05-22 09:15:00,24606.05,35.02,30.716
2025-05-22 10:15:00,24594.6,37.56,31.768
2025-05-22 11:15:00,24572.8,39.07,33.409
2025-05-22 12:15:00,24539.65,39.71,35.068
2025-05-22 13:15:00,24529.8,37.47,36.219
2025-05-22 14:15:00,24601.0,43.82,37.881
2025-05-23 14:15:00,24850.75,48.94,38.61
2025-05-23 15:15:00,24845.15,46.96,39.097
2025-05-23 16:15:00,24853.55,58.66,41.04
2025-05-26 09:15:00,25044.15,64.95,43.016
2025-05-26 10:15:00,24972.75,59.77,44.641
2025-05-26 11:15:00,24989.8,60.08,46.366
2025-05-26 12:15:00,24981.9,60.15,48.126
2025-05-26 13:15:00,25001.0,60.95,49.508
2025-05-26 14:15:00,25004.45,77.64,52.552
2025-05-26 15:15:00,24996.35,78.0,55.441
2025-05-26 16:15:00,24999.9,80.55,58.404
2025-05-27 09:15:00,24777.1,63.36,60.093
2025-05-27 10:15:00,24877.65,67.76,62.256
2025-05-27 11:15:00,24957.45,68.04,63.986
2025-05-27 12:15:00,24829.85,48.79,63.976
2025-05-27 13:15:00,24767.6,45.8,63.893
2025-05-27 14:15:00,24831.8,48.89,63.195
2025-05-27 15:15:00,24837.7,36.99,61.198
2025-05-27 16:15:00,24819.1,39.63,59.759
2025-05-28 09:15:00,24760.5,35.35,57.993
2025-05-28 10:15:00,24768.05,36.33,56.291
2025-05-28 11:15:00,24761.7,34.45,54.399
2025-05-28 12:15:00,24792.65,36.71,51.475
2025-05-29 12:15:00,24760.75,35.64,48.449
2025-05-29 13:15:00,24725.6,33.91,45.118
2025-05-29 14:15:00,24850.75,54.88,44.512
2025-05-29 15:15:00,24880.85,50.23,43.26
2025-05-29 16:15:00,24857.7,42.05,41.404
2025-05-30 09:15:00,24794.75,46.88,41.267
2025-05-30 10:15:00,24754.3,48.77,41.479
2025-05-30 11:15:00,24741.8,40.8,40.901
2025-05-30 12:15:00,24758.6,42.09,41.266
2025-05-30 13:15:00,24753.6,43.27,41.526
2025-05-30 14:15:00,24751.65,48.97,42.499
2025-05-30 15:15:00,24736.65,46.41,43.219
2025-05-30 16:15:00,24741.7,47.71,44.166
2025-06-02 09:15:00,24581.95,31.35,43.783
2025-06-02 10:15:00,24623.15,38.02,43.953
2025-06-02 11:15:00,24665.95,44.87,44.736
2025-06-02 12:15:00,24702.45,34.97,43.314
2025-06-02 13:15:00,24693.6,30.16,41.88
2025-06-02 14:15:00,24723.95,36.04,41.451
2025-06-02 15:15:00,24690.7,38.42,40.846
2025-06-02 16:15:00,24679.55,41.1,40.299
2025-06-03 09:15:00,24661.7,40.59,40.284
2025-06-03 10:15:00,24661.25,38.1,39.999
2025-06-04 10:15:00,24581.55,32.22,39.209
2025-06-04 11:15:00,24607.75,35.84,38.271
2025-06-04 12:15:00,24600.25,36.38,37.555
2025-06-04 13:15:00,24616.55,37.77,36.845
2025-06-04 14:15:00,24616.9,54.96,38.531
2025-06-04 15:15:00,24612.0,48.24,39.261
2025-06-04 16:15:00,24610.6,39.93,38.909
2025-06-05 09:15:00,24732.25,54.14,40.278
2025-06-05 10:15:00,24708.8,52.03,41.84
2025-06-05 11:15:00,24869.55,64.42,43.867
2025-06-05 12:15:00,24776.95,57.64,45.24
2025-06-05 13:15:00,24713.55,52.76,46.073
2025-06-05 14:15:00,24752.55,57.12,47.254
2025-06-05 15:15:00,24761.1,57.73,48.656
2025-06-05 16:15:00,24768.3,66.29,51.089
2025-06-06 09:15:00,24750.6,62.65,53.004
2025-06-06 10:15:00,24983.05,74.24,55.709
2025-06-06 11:15:00,24998.85,74.22,58.312
2025-06-06 12:15:00,24969.05,71.51,59.494
2025-06-06 13:15:00,24986.0,72.51,61.228
